2	5.6e-06
12	1.84e-05
22	7.58e-05
32	0.0002186
42	0.0004644
52	0.000939
62	0.0014482
72	0.0024946
82	0.0033968
92	0.0050198
102	0.0074946
112	0.0086728
122	0.011476
132	0.014689
142	0.0184208
152	0.0239456
162	0.0288646
172	0.0378656
182	0.0373268
192	0.0458702
202	0.0555328
212	0.0713996
222	0.0742442
232	0.0760258
242	0.0875154
252	0.0953096
262	0.123277
272	0.148422
282	0.159564
292	0.178185
302	0.200204
312	0.223541
322	0.251562
332	0.277275
342	0.299626
352	0.329
362	0.387216
372	0.410662
382	0.435773
392	0.539104
402	0.587372
412	0.604023
422	0.642097
432	0.721792
442	0.809715
452	0.850297
