2	2.4e-06
52	0.0001154
102	0.0007584
152	0.0026456
202	0.0062478
252	0.0117222
302	0.0197686
352	0.0329374
402	0.0510266
452	0.0692228
502	0.090441
552	0.118958
602	0.152928
652	0.20636
702	0.246705
752	0.309667
802	0.372139
852	0.457799
902	0.579385
952	0.631383
1002	0.724622
1052	0.887885
1102	1.00564
1152	1.10828
1202	1.33104
1252	1.40322
1302	1.66086
1352	1.88383
1402	2.04696
1452	2.25948
1502	2.46321
1552	2.86905
1602	3.09943
1652	3.32466
1702	3.58736
1752	3.93759
1802	4.19369
1852	4.52075
1902	4.89341
1952	5.47632
2002	5.825
2052	6.23453
2102	6.62022
2152	7.1838
2202	7.72865
2252	8.08453
2302	8.93238
2352	9.24454
2402	9.97093
2452	10.5788
2502	11.3735
2552	12.2056
2602	12.6659
2652	13.3635
2702	14.4413
2752	15.1544
2802	16.0165
2852	16.9738
2902	17.8101
2952	18.8134
3002	19.7105
3052	21.0934
3102	21.6109
3152	22.4595
3202	23.7407
3252	24.4671
3302	26.3361
3352	27.2782
3402	28.5103
3452	29.8317
3502	30.9306
3552	32.6088
3602	33.8548
